Episodio;Distancia;Tipo
1;9.69;Tiempo
2;9.959;Tiempo
3;9.664;Tiempo
4;6.33;Tiempo
5;5.803;Tiempo
6;0.89;Objetivo
7;9.628;Tiempo
8;8.764;Tiempo
9;9.523;Tiempo
10;7.32;Tiempo
11;9.769;Tiempo
12;9.847;Tiempo
13;6.799;Tiempo
14;9.175;Tiempo
15;7.097;Tiempo
16;8.417;Tiempo
17;5.942;Tiempo
18;7.841;Tiempo
19;8.853;Tiempo
20;9.963;Tiempo
21;9.394;Tiempo
22;9.32;Tiempo
23;8.992;Tiempo
24;6.938;Tiempo
25;9.523;Tiempo
26;1.667;Tiempo
27;9.366;Tiempo
28;9.146;Tiempo
29;8.432;Tiempo
30;7.814;Tiempo
31;9.864;Tiempo
32;9.973;Tiempo
33;9.862;Tiempo
34;9.222;Tiempo
35;9.591;Tiempo
36;9.823;Tiempo
37;9.571;Tiempo
38;9.5;Tiempo
39;9.023;Tiempo
40;8.75;Tiempo
41;8.004;Tiempo
42;8.819;Tiempo
43;9.806;Tiempo
44;8.812;Tiempo
45;9.753;Tiempo
46;9.604;Tiempo
47;10.0;Tiempo
48;9.407;Tiempo
49;9.806;Tiempo
50;9.889;Tiempo
51;8.775;Tiempo
52;9.865;Tiempo
53;4.213;Tiempo
54;9.052;Tiempo
55;9.078;Tiempo
56;9.811;Tiempo
57;9.694;Tiempo
58;9.42;Tiempo
59;4.585;Tiempo
60;9.69;Tiempo
61;3.047;Tiempo
62;9.449;Tiempo
63;9.896;Tiempo
64;9.799;Tiempo
65;7.066;Tiempo
66;7.394;Tiempo
67;2.817;Tiempo
68;2.582;Tiempo
69;9.67;Tiempo
70;3.917;Tiempo
71;3.079;Tiempo
72;6.882;Tiempo
73;4.114;Tiempo
74;7.631;Tiempo
75;6.017;Tiempo
76;9.812;Tiempo
77;8.488;Tiempo
78;6.281;Tiempo
79;6.274;Tiempo
80;6.875;Tiempo
81;8.679;Tiempo
82;6.786;Tiempo
83;8.792;Tiempo
84;3.316;Tiempo
85;9.696;Tiempo
86;9.157;Tiempo
87;8.963;Tiempo
88;9.815;Tiempo
89;4.798;Tiempo
90;7.138;Tiempo
91;6.716;Tiempo
92;9.824;Tiempo
93;9.35;Tiempo
94;3.588;Tiempo
95;9.747;Tiempo
96;0.997;Objetivo
97;9.411;Tiempo
98;8.861;Tiempo
99;0.93;Objetivo
100;5.563;Tiempo
101;9.806;Tiempo
102;9.792;Tiempo
103;3.455;Tiempo
104;7.203;Tiempo
105;8.18;Tiempo
106;9.702;Tiempo
107;9.731;Tiempo
108;0.789;Objetivo
109;2.811;Tiempo
110;8.279;Tiempo
111;7.854;Tiempo
112;7.713;Tiempo
113;8.758;Tiempo
114;9.431;Tiempo
115;9.745;Tiempo
116;6.276;Tiempo
117;9.51;Tiempo
118;9.716;Tiempo
