Episodio;Distancia;Tipo
1;8.331;Colision
2;3.689;Colision
3;10.659;Colision
4;26.079;Tiempo
5;14.226;Colision
6;8.01;Colision
7;15.301;Colision
8;4.272;Colision
9;0.143;Objetivo
10;2.498;Colision
11;5.279;Colision
12;6.253;Colision
13;9.071;Tiempo
14;5.874;Colision
15;4.829;Tiempo
16;8.496;Tiempo
17;11.509;Colision
18;9.449;Colision
19;6.08;Colision
20;4.141;Tiempo
21;24.679;Tiempo
22;7.014;Colision
23;7.597;Colision
24;4.798;Colision
25;11.078;Colision
26;7.452;Colision
27;11.827;Tiempo
28;16.924;Colision
29;0.977;Objetivo
30;5.945;Tiempo
31;0.624;Objetivo
32;6.328;Colision
33;0.639;Objetivo
34;2.958;Colision
35;11.845;Colision
36;12.965;Colision
37;7.04;Tiempo
38;17.522;Colision
39;3.493;Tiempo
40;12.243;Colision
41;0.848;Objetivo
42;0.572;Objetivo
43;0.999;Objetivo
44;14.684;Colision
45;17.392;Colision
46;10.633;Colision
47;22.02;Colision
48;2.778;Tiempo
49;17.373;Colision
50;9.565;Colision
51;11.782;Colision
52;7.035;Colision
53;10.202;Colision
54;11.931;Tiempo
55;0.423;Objetivo
56;10.361;Colision
57;19.861;Tiempo
58;0.505;Objetivo
59;7.689;Tiempo
60;3.599;Colision
61;5.958;Tiempo
62;0.164;Objetivo
63;5.244;Tiempo
64;4.888;Colision
65;10.771;Colision
66;19.43;Colision
67;15.704;Colision
68;8.87;Tiempo
69;14.138;Colision
70;0.795;Tiempo
71;0.516;Objetivo
72;11.379;Colision
73;4.317;Colision
74;11.946;Colision
75;2.924;Colision
76;8.558;Colision
77;19.989;Colision
78;15.86;Colision
79;0.566;Objetivo
80;0.987;Objetivo
81;0.289;Objetivo
82;0.966;Objetivo
83;33.904;Tiempo
84;12.96;Colision
85;14.806;Colision
86;18.725;Tiempo
87;7.875;Colision
88;19.334;Colision
89;7.223;Colision
90;9.823;Colision
91;10.528;Colision
92;9.137;Colision
93;1.606;Tiempo
94;10.282;Colision
95;12.07;Tiempo
96;7.794;Tiempo
97;16.124;Colision
98;5.421;Colision
99;2.894;Tiempo
100;15.823;Tiempo
101;0.606;Objetivo
102;14.309;Colision
103;5.44;Tiempo
104;0.751;Objetivo
105;7.409;Tiempo
106;14.178;Tiempo
107;10.824;Tiempo
108;12.345;Tiempo
109;3.85;Colision
110;18.262;Colision
111;6.491;Colision
112;9.331;Colision
113;10.746;Colision
114;17.582;Colision
115;10.345;Tiempo
116;22.939;Tiempo
117;8.408;Colision
118;0.794;Objetivo
119;8.553;Colision
120;6.458;Colision
121;7.287;Colision
122;5.198;Colision
123;15.541;Tiempo
124;20.728;Tiempo
125;25.033;Tiempo
126;27.764;Tiempo
127;0.338;Objetivo
128;5.722;Colision
129;4.449;Tiempo
130;6.477;Colision
131;7.654;Colision
132;17.711;Colision
133;11.648;Colision
134;8.046;Colision
135;9.98;Colision
136;7.687;Colision
137;12.518;Colision
138;6.081;Colision
139;10.834;Colision
140;8.461;Colision
141;7.991;Colision
142;5.255;Tiempo
143;6.949;Colision
144;0.881;Objetivo
145;5.75;Colision
146;3.442;Tiempo
147;13.089;Colision
148;29.384;Tiempo
149;0.439;Objetivo
150;0.015;Objetivo
151;0.999;Objetivo
152;29.245;Colision
153;20.058;Tiempo
154;9.955;Colision
155;6.46;Colision
156;17.948;Colision
157;10.372;Colision
158;11.476;Colision
159;11.483;Colision
160;0.883;Objetivo
161;0.896;Objetivo
162;24.115;Colision
163;4.216;Colision
164;13.934;Tiempo
165;3.668;Tiempo
166;6.884;Colision
167;3.775;Tiempo
168;18.582;Colision
169;26.542;Colision
170;11.812;Colision
171;3.569;Colision
172;9.293;Colision
173;5.746;Colision
174;36.204;Tiempo
175;18.45;Tiempo
176;6.279;Tiempo
177;15.949;Colision
178;8.056;Colision
179;0.827;Objetivo
180;4.162;Colision
181;5.152;Tiempo
182;10.656;Colision
183;10.991;Colision
184;10.769;Colision
185;14.244;Colision
186;23.009;Colision
187;14.707;Colision
188;3.06;Colision
189;11.737;Colision
190;9.762;Tiempo
191;1.633;Tiempo
192;12.907;Tiempo
193;18.614;Colision
194;7.742;Colision
195;7.159;Colision
196;6.677;Colision
197;5.996;Colision
198;8.792;Colision
199;14.335;Colision
200;11.222;Colision
201;13.116;Tiempo
202;17.76;Tiempo
203;9.503;Colision
204;8.221;Colision
205;0.747;Objetivo
206;12.667;Tiempo
207;7.345;Colision
208;4.311;Tiempo
209;0.925;Objetivo
210;14.696;Colision
211;9.38;Colision
212;7.657;Colision
213;0.71;Objetivo
214;6.934;Colision
215;30.315;Tiempo
216;2.827;Tiempo
217;0.883;Objetivo
218;11.644;Tiempo
219;11.244;Colision
220;17.006;Colision
221;12.007;Colision
222;0.555;Objetivo
223;2.932;Colision
224;0.598;Objetivo
225;9.655;Colision
226;11.13;Colision
227;7.604;Colision
228;20.379;Colision
229;17.455;Colision
230;0.329;Objetivo
231;2.491;Colision
232;7.616;Colision
233;21.491;Tiempo
234;9.14;Colision
235;10.771;Colision
236;4.298;Colision
237;10.906;Colision
238;13.124;Colision
239;6.082;Colision
240;6.843;Colision
241;6.858;Colision
242;5.732;Colision
243;5.027;Colision
244;0.399;Objetivo
245;19.911;Colision
246;9.609;Colision
247;3.08;Tiempo
248;18.982;Tiempo
249;2.974;Colision
250;15.265;Tiempo
251;8.234;Colision
252;4.792;Tiempo
253;15.549;Colision
254;0.713;Objetivo
255;13.836;Tiempo
256;10.942;Colision
257;5.166;Colision
258;0.968;Objetivo
259;3.829;Colision
260;13.234;Colision
261;16.806;Colision
262;6.317;Colision
263;5.644;Tiempo
264;7.731;Colision
265;0.955;Tiempo
266;5.452;Tiempo
267;16.724;Colision
268;4.218;Tiempo
269;25.409;Tiempo
270;0.506;Objetivo
271;1.487;Tiempo
272;28.934;Tiempo
273;11.792;Colision
274;0.909;Objetivo
275;0.929;Objetivo
276;19.015;Colision
277;5.775;Colision
278;18.526;Colision
279;20.975;Tiempo
280;0.646;Objetivo
281;0.262;Objetivo
282;9.55;Colision
283;3.978;Colision
284;2.98;Colision
285;5.066;Colision
286;13.856;Colision
287;13.968;Colision
288;19.197;Tiempo
289;11.105;Colision
290;7.949;Colision
291;10.813;Colision
292;16.507;Tiempo
293;11.89;Colision
294;4.127;Tiempo
295;0.796;Objetivo
296;6.126;Colision
297;19.978;Tiempo
298;3.219;Colision
299;6.847;Colision
300;0.242;Objetivo
301;10.812;Colision
302;4.988;Tiempo
303;14.62;Colision
