Episodio;Distancia;Tipo
1;5.901;Tiempo
2;2.744;Colision
3;3.317;Colision
4;0.344;Objetivo
5;11.463;Colision
6;34.39;Tiempo
7;0.478;Objetivo
8;8.873;Colision
9;11.231;Colision
10;4.862;Colision
11;32.577;Tiempo
12;11.323;Colision
13;0.783;Objetivo
14;3.926;Colision
15;11.608;Colision
16;2.921;Colision
17;18.716;Colision
18;20.912;Tiempo
19;7.435;Colision
20;14.029;Colision
21;4.221;Colision
22;6.432;Colision
23;37.606;Tiempo
24;8.856;Tiempo
25;10.819;Colision
26;9.649;Tiempo
27;3.904;Colision
28;0.164;Objetivo
29;31.607;Tiempo
30;38.583;Tiempo
31;0.533;Objetivo
32;0.411;Objetivo
33;11.724;Colision
34;12.051;Colision
35;6.687;Colision
36;11.975;Colision
37;14.246;Colision
38;9.929;Tiempo
39;7.059;Colision
40;14.912;Tiempo
41;25.937;Tiempo
42;3.947;Colision
43;0.506;Objetivo
44;3.637;Colision
45;9.246;Colision
46;23.099;Tiempo
47;5.946;Tiempo
48;0.699;Objetivo
49;9.867;Colision
50;0.913;Objetivo
51;16.079;Colision
52;16.32;Colision
53;0.758;Objetivo
54;9.384;Colision
55;0.929;Objetivo
56;2.614;Colision
57;0.098;Objetivo
58;0.644;Objetivo
59;16.326;Colision
60;11.974;Colision
61;12.84;Colision
62;11.134;Colision
63;0.312;Objetivo
64;15.99;Colision
65;11.173;Tiempo
66;17.706;Colision
67;3.39;Colision
68;11.532;Colision
69;9.405;Colision
70;10.889;Colision
71;0.528;Objetivo
72;6.384;Colision
73;9.251;Colision
74;14.598;Colision
75;43.348;Tiempo
76;10.835;Colision
77;0.563;Objetivo
78;8.151;Colision
79;25.009;Tiempo
80;15.856;Tiempo
81;0.308;Objetivo
82;19.992;Tiempo
83;14.103;Colision
84;0.94;Objetivo
85;6.415;Colision
86;12.043;Colision
87;19.949;Colision
88;6.398;Colision
89;11.149;Colision
90;0.789;Objetivo
91;11.919;Colision
92;17.802;Tiempo
93;7.157;Colision
94;0.639;Objetivo
95;10.765;Colision
96;21.755;Tiempo
97;15.282;Tiempo
98;11.125;Tiempo
99;3.337;Colision
100;28.658;Tiempo
101;7.273;Colision
102;6.973;Colision
103;10.138;Tiempo
104;7.556;Colision
105;22.772;Tiempo
106;15.707;Colision
107;11.411;Colision
108;17.859;Tiempo
109;5.886;Colision
110;9.596;Tiempo
111;33.5;Tiempo
112;39.129;Tiempo
113;9.984;Colision
114;0.881;Objetivo
115;9.573;Colision
116;7.632;Colision
117;3.389;Colision
118;17.085;Colision
119;29.247;Tiempo
120;9.654;Tiempo
121;9.806;Tiempo
122;14.344;Colision
123;6.295;Colision
124;9.877;Colision
125;10.393;Colision
126;5.405;Colision
127;0.866;Objetivo
128;11.426;Colision
129;10.752;Colision
130;0.75;Objetivo
131;15.035;Colision
132;15.526;Colision
133;6.168;Colision
134;0.229;Objetivo
135;2.694;Colision
136;13.2;Colision
137;15.782;Colision
138;9.633;Colision
