Episodio;Precision
20;0.406
40;0.359
60;0.516
80;0.406
100;0.484
120;0.531
140;0.406
160;0.547
180;0.484
200;0.469
220;0.344
240;0.406
260;0.484
280;0.453
300;0.656
320;0.672
340;0.562
360;0.609
380;0.672
400;0.547
420;0.438
440;0.312
460;0.5
480;0.484
500;0.391
