Episodio;Distancia;Tipo
1;6.293;Tiempo
2;4.644;Tiempo
3;5.909;Colision
4;3.41;Colision
5;11.648;Colision
6;10.073;Colision
7;9.031;Colision
8;2.742;Colision
9;8.312;Tiempo
10;9.12;Colision
11;17.06;Colision
12;2.542;Colision
13;14.404;Colision
14;0.527;Objetivo
15;10.936;Colision
16;19.284;Tiempo
17;2.903;Tiempo
18;6.883;Tiempo
19;10.53;Colision
20;4.04;Colision
21;4.964;Colision
22;5.136;Tiempo
23;0.798;Objetivo
24;6.661;Tiempo
25;10.98;Colision
26;17.656;Tiempo
27;11.813;Colision
28;8.605;Colision
29;9.313;Colision
30;5.904;Colision
31;0.789;Objetivo
32;7.486;Colision
33;7.491;Colision
34;12.456;Colision
35;20.923;Tiempo
36;0.463;Objetivo
37;0.767;Objetivo
38;12.667;Colision
39;22.379;Tiempo
40;0.744;Objetivo
41;13.667;Colision
42;0.659;Objetivo
43;5.882;Colision
44;5.854;Colision
45;18.718;Colision
46;20.074;Tiempo
47;11.836;Tiempo
48;15.068;Colision
49;6.68;Colision
50;27.42;Colision
51;8.278;Colision
52;6.977;Colision
53;16.943;Tiempo
54;34.701;Tiempo
55;9.642;Colision
56;5.1;Colision
57;0.559;Objetivo
58;0.937;Objetivo
59;8.113;Colision
60;8.778;Colision
61;23.56;Tiempo
62;3.283;Colision
63;5.381;Tiempo
64;9.562;Tiempo
65;7.593;Colision
66;14.943;Tiempo
67;0.828;Objetivo
68;9.896;Colision
69;0.614;Objetivo
70;15.249;Colision
71;15.292;Colision
72;12.389;Tiempo
73;14.923;Colision
74;0.845;Objetivo
75;7.621;Colision
76;17.469;Tiempo
77;12.972;Colision
78;4.46;Colision
79;2.809;Colision
80;5.373;Colision
81;8.497;Colision
82;11.182;Colision
83;17.618;Tiempo
84;19.128;Colision
85;21.419;Tiempo
86;27.354;Colision
87;0.909;Objetivo
88;11.963;Colision
89;20.804;Tiempo
90;9.241;Colision
91;6.902;Colision
92;21.26;Tiempo
93;12.262;Colision
94;13.761;Tiempo
95;16.76;Colision
96;7.164;Colision
97;4.372;Colision
98;6.083;Colision
99;23.206;Tiempo
100;6.666;Colision
101;20.351;Tiempo
102;8.937;Colision
103;0.883;Objetivo
104;5.742;Tiempo
105;0.989;Objetivo
106;8.995;Colision
107;8.262;Colision
108;5.929;Colision
109;6.771;Colision
110;2.862;Colision
111;4.844;Colision
112;5.026;Tiempo
113;7.507;Colision
114;1.666;Tiempo
115;10.788;Colision
116;0.603;Objetivo
117;12.278;Colision
118;17.628;Colision
119;6.987;Colision
120;14.915;Colision
121;11.599;Colision
122;0.312;Objetivo
123;17.914;Colision
124;10.842;Colision
125;26.761;Tiempo
126;13.218;Colision
127;10.785;Colision
128;27.345;Colision
129;0.929;Objetivo
130;7.496;Colision
131;6.857;Colision
132;13.906;Tiempo
133;0.616;Objetivo
134;5.024;Tiempo
135;0.803;Objetivo
136;27.34;Colision
137;13.903;Colision
138;0.867;Objetivo
139;16.075;Colision
140;8.185;Colision
141;9.627;Colision
142;14.944;Tiempo
143;15.505;Colision
144;13.736;Colision
145;0.747;Objetivo
146;24.084;Tiempo
147;10.979;Colision
148;0.905;Objetivo
149;0.719;Objetivo
150;6.559;Tiempo
151;10.831;Colision
152;6.712;Colision
153;0.871;Objetivo
154;0.253;Objetivo
155;13.518;Tiempo
156;13.64;Colision
157;10.013;Colision
158;32.641;Tiempo
159;3.072;Colision
160;6.146;Tiempo
161;5.986;Colision
162;4.184;Colision
163;0.53;Objetivo
164;0.435;Objetivo
165;12.48;Colision
166;0.627;Objetivo
167;3.083;Colision
168;5.139;Tiempo
169;10.21;Colision
170;9.802;Tiempo
171;11.442;Tiempo
172;14.643;Colision
173;7.823;Colision
174;13.423;Colision
175;10.19;Tiempo
176;2.817;Colision
177;7.321;Colision
178;2.892;Colision
179;3.773;Colision
180;7.727;Colision
181;0.595;Objetivo
182;23.351;Tiempo
183;19.032;Tiempo
184;12.136;Colision
185;11.226;Colision
186;18.799;Colision
187;18.353;Tiempo
188;5.9;Colision
189;19.58;Colision
190;14.568;Colision
191;6.556;Colision
192;7.873;Colision
193;17.318;Colision
194;8.744;Tiempo
195;11.563;Colision
196;12.667;Tiempo
197;4.924;Colision
198;8.948;Tiempo
199;5.125;Colision
200;12.475;Colision
