Episodio;Precision
20;0.578
40;0.438
60;0.312
80;0.531
100;0.5
120;0.641
140;0.547
160;0.562
180;0.531
200;0.578
220;0.625
240;0.656
260;0.562
280;0.531
300;0.547
320;0.656
340;0.578
360;0.672
380;0.578
400;0.547
420;0.641
440;0.594
460;0.484
480;0.391
500;0.469
