Episodio;Distancia;Tipo
1;24.527;Tiempo
2;27.838;Tiempo
3;29.247;Tiempo
4;27.937;Tiempo
5;27.332;Tiempo
6;27.794;Tiempo
7;28.323;Tiempo
8;27.871;Tiempo
9;28.284;Tiempo
10;29.674;Tiempo
11;28.254;Tiempo
12;29.084;Tiempo
13;28.644;Tiempo
14;29.648;Tiempo
15;26.027;Tiempo
16;29.215;Tiempo
17;28.846;Tiempo
18;28.917;Tiempo
19;29.051;Tiempo
20;29.328;Tiempo
21;28.659;Tiempo
22;26.093;Tiempo
23;28.858;Tiempo
24;29.237;Tiempo
25;29.228;Tiempo
26;29.543;Tiempo
27;29.486;Tiempo
28;27.465;Tiempo
29;29.474;Tiempo
30;29.286;Tiempo
31;29.621;Tiempo
32;23.064;Tiempo
33;28.343;Tiempo
34;23.961;Tiempo
35;29.783;Tiempo
36;28.779;Tiempo
37;28.974;Tiempo
38;29.487;Tiempo
39;25.409;Tiempo
40;20.92;Tiempo
41;29.189;Tiempo
42;27.864;Tiempo
43;26.782;Tiempo
44;29.659;Tiempo
45;27.666;Tiempo
46;28.205;Tiempo
47;29.158;Tiempo
48;29.259;Tiempo
49;29.537;Tiempo
50;28.05;Tiempo
51;28.419;Tiempo
52;28.943;Tiempo
53;29.659;Tiempo
54;29.356;Tiempo
55;28.501;Tiempo
56;28.36;Tiempo
57;27.234;Tiempo
58;29.502;Tiempo
59;29.673;Tiempo
60;29.599;Tiempo
61;29.521;Tiempo
62;29.195;Tiempo
63;29.841;Tiempo
64;26.543;Tiempo
65;26.922;Tiempo
66;28.836;Tiempo
67;29.341;Tiempo
68;28.61;Tiempo
69;29.638;Tiempo
70;29.465;Tiempo
71;27.851;Tiempo
72;25.666;Tiempo
73;29.352;Tiempo
74;29.649;Tiempo
75;29.322;Tiempo
76;28.292;Tiempo
77;30.0;Tiempo
78;26.858;Tiempo
79;29.032;Tiempo
80;29.853;Tiempo
81;25.579;Tiempo
82;28.091;Tiempo
83;29.604;Tiempo
84;27.416;Tiempo
85;26.298;Tiempo
86;25.34;Tiempo
87;29.307;Tiempo
88;29.482;Tiempo
89;29.562;Tiempo
90;28.956;Tiempo
91;20.579;Tiempo
92;24.22;Tiempo
93;29.802;Tiempo
94;29.782;Tiempo
95;27.6;Tiempo
96;27.234;Tiempo
97;29.594;Tiempo
98;28.55;Tiempo
99;24.914;Tiempo
100;28.646;Tiempo
101;29.374;Tiempo
102;27.231;Tiempo
103;29.207;Tiempo
104;29.786;Tiempo
105;28.942;Tiempo
106;27.846;Tiempo
107;29.444;Tiempo
108;29.324;Tiempo
109;27.737;Tiempo
110;29.428;Tiempo
111;29.411;Tiempo
112;27.862;Tiempo
113;26.503;Tiempo
114;27.401;Tiempo
115;28.709;Tiempo
116;28.932;Tiempo
117;27.071;Tiempo
118;29.757;Tiempo
119;29.378;Tiempo
120;28.42;Tiempo
121;27.652;Tiempo
122;29.457;Tiempo
123;29.21;Tiempo
124;28.579;Tiempo
125;27.998;Tiempo
126;25.801;Tiempo
127;29.57;Tiempo
128;30.743;Tiempo
129;29.573;Tiempo
130;28.609;Tiempo
131;27.079;Tiempo
132;28.716;Tiempo
133;20.552;Tiempo
134;29.653;Tiempo
135;27.534;Tiempo
136;28.44;Tiempo
137;29.424;Tiempo
138;28.876;Tiempo
139;27.792;Tiempo
140;29.102;Tiempo
141;26.888;Tiempo
142;29.063;Tiempo
143;27.13;Tiempo
144;26.568;Tiempo
145;22.865;Tiempo
146;28.334;Tiempo
147;28.125;Tiempo
148;28.731;Tiempo
149;27.73;Tiempo
150;27.02;Tiempo
151;28.318;Tiempo
152;28.857;Tiempo
153;29.057;Tiempo
154;29.18;Tiempo
155;25.999;Tiempo
156;25.767;Tiempo
157;28.501;Tiempo
158;28.893;Tiempo
159;27.894;Tiempo
160;22.032;Tiempo
161;29.354;Tiempo
162;29.615;Tiempo
163;28.911;Tiempo
164;28.903;Tiempo
165;28.557;Tiempo
166;28.588;Tiempo
167;28.495;Tiempo
168;30.53;Tiempo
169;22.864;Tiempo
170;28.664;Tiempo
171;29.908;Tiempo
172;28.646;Tiempo
173;27.702;Tiempo
174;28.076;Tiempo
175;28.941;Tiempo
176;29.719;Tiempo
177;27.274;Tiempo
178;30.0;Tiempo
179;28.063;Tiempo
180;28.044;Tiempo
181;28.941;Tiempo
182;29.757;Tiempo
183;27.897;Tiempo
184;29.457;Tiempo
185;27.84;Tiempo
186;29.221;Tiempo
187;28.496;Tiempo
188;28.754;Tiempo
189;24.569;Tiempo
190;27.464;Tiempo
191;29.787;Tiempo
192;29.559;Tiempo
193;29.173;Tiempo
194;29.805;Tiempo
195;30.726;Tiempo
196;25.646;Tiempo
197;29.365;Tiempo
198;28.738;Tiempo
199;29.572;Tiempo
200;27.313;Tiempo
201;30.42;Tiempo
202;29.442;Tiempo
203;28.05;Tiempo
204;29.632;Tiempo
205;28.663;Tiempo
206;28.519;Tiempo
207;30.45;Tiempo
208;27.597;Tiempo
209;29.311;Tiempo
210;24.524;Tiempo
211;28.96;Tiempo
212;27.274;Tiempo
213;30.729;Tiempo
214;28.002;Tiempo
215;29.658;Tiempo
216;29.712;Tiempo
217;28.675;Tiempo
218;28.741;Tiempo
219;28.934;Tiempo
220;30.531;Tiempo
221;31.0;Tiempo
222;26.785;Tiempo
223;25.667;Tiempo
224;25.348;Tiempo
225;29.909;Tiempo
226;26.397;Tiempo
227;29.691;Tiempo
228;28.503;Tiempo
229;29.749;Tiempo
