Episodio;Distancia;Tipo
1;18.146;Tiempo
2;26.582;Tiempo
3;26.178;Tiempo
4;29.26;Tiempo
5;29.463;Tiempo
6;28.961;Tiempo
7;28.934;Tiempo
8;28.643;Tiempo
9;28.654;Tiempo
10;27.959;Tiempo
11;20.976;Tiempo
12;29.208;Tiempo
13;28.552;Tiempo
14;29.735;Tiempo
15;26.103;Tiempo
16;18.624;Tiempo
17;28.839;Tiempo
18;29.286;Tiempo
19;28.6;Tiempo
20;26.24;Tiempo
21;28.399;Tiempo
22;29.244;Tiempo
23;25.155;Tiempo
24;24.403;Tiempo
25;19.686;Tiempo
26;29.14;Tiempo
27;26.613;Tiempo
28;24.422;Tiempo
29;27.938;Tiempo
30;22.363;Tiempo
31;24.437;Tiempo
32;29.743;Tiempo
33;29.726;Tiempo
34;26.816;Tiempo
35;27.981;Tiempo
36;21.675;Tiempo
37;28.32;Tiempo
38;29.118;Tiempo
39;26.406;Tiempo
40;29.097;Tiempo
41;27.085;Tiempo
42;28.851;Tiempo
43;26.671;Tiempo
44;28.681;Tiempo
45;26.604;Tiempo
46;23.637;Tiempo
47;29.131;Tiempo
48;26.083;Tiempo
49;25.843;Tiempo
50;25.18;Tiempo
51;28.828;Tiempo
52;29.601;Tiempo
53;27.398;Tiempo
54;27.357;Tiempo
55;29.255;Tiempo
56;24.552;Tiempo
57;23.271;Tiempo
58;27.673;Tiempo
59;27.67;Tiempo
60;25.676;Tiempo
61;27.658;Tiempo
62;23.044;Tiempo
63;21.988;Tiempo
64;29.247;Tiempo
65;24.032;Tiempo
66;24.501;Tiempo
67;22.998;Tiempo
68;29.136;Tiempo
69;22.93;Tiempo
70;25.408;Tiempo
71;28.121;Tiempo
72;27.846;Tiempo
73;26.145;Tiempo
74;26.261;Tiempo
75;28.545;Tiempo
76;26.529;Tiempo
77;26.398;Tiempo
78;25.735;Tiempo
79;29.179;Tiempo
80;28.376;Tiempo
81;28.601;Tiempo
82;27.907;Tiempo
83;24.884;Tiempo
84;27.554;Tiempo
85;28.568;Tiempo
86;24.315;Tiempo
87;28.8;Tiempo
88;26.061;Tiempo
89;27.47;Tiempo
90;25.91;Tiempo
91;28.841;Tiempo
92;29.309;Tiempo
93;29.573;Tiempo
94;28.938;Tiempo
95;29.087;Tiempo
96;22.947;Tiempo
97;29.683;Tiempo
98;29.716;Tiempo
99;29.09;Tiempo
100;28.764;Tiempo
101;27.249;Tiempo
102;24.105;Tiempo
103;27.913;Tiempo
104;27.605;Tiempo
105;28.55;Tiempo
106;26.462;Tiempo
107;21.876;Tiempo
108;22.086;Tiempo
109;29.222;Tiempo
110;28.223;Tiempo
111;27.855;Tiempo
112;26.983;Tiempo
113;29.18;Tiempo
114;25.686;Tiempo
115;25.691;Tiempo
116;27.321;Tiempo
117;28.51;Tiempo
118;28.975;Tiempo
119;28.114;Tiempo
120;26.626;Tiempo
121;24.452;Tiempo
122;27.155;Tiempo
123;21.539;Tiempo
124;28.772;Tiempo
125;20.945;Tiempo
126;29.429;Tiempo
127;26.977;Tiempo
128;28.401;Tiempo
129;17.708;Tiempo
130;14.447;Tiempo
131;29.08;Tiempo
132;27.628;Tiempo
133;23.883;Tiempo
134;20.303;Tiempo
135;28.202;Tiempo
136;28.489;Tiempo
137;25.911;Tiempo
138;25.969;Tiempo
139;26.607;Tiempo
140;23.736;Tiempo
141;17.687;Tiempo
142;29.17;Tiempo
143;28.8;Tiempo
144;19.178;Colision
145;26.917;Tiempo
146;29.183;Tiempo
147;29.187;Tiempo
148;29.827;Tiempo
149;29.082;Tiempo
150;28.974;Tiempo
151;28.373;Tiempo
152;29.935;Tiempo
153;24.598;Tiempo
154;29.599;Tiempo
155;28.638;Tiempo
156;28.702;Tiempo
157;29.14;Tiempo
158;27.923;Tiempo
159;30.658;Tiempo
160;27.558;Tiempo
161;21.782;Tiempo
162;29.194;Tiempo
163;27.838;Tiempo
164;29.185;Tiempo
165;25.322;Tiempo
166;25.756;Tiempo
167;27.63;Tiempo
168;22.401;Tiempo
169;28.918;Tiempo
170;29.086;Tiempo
171;28.145;Tiempo
172;29.65;Tiempo
173;24.44;Tiempo
174;27.574;Tiempo
175;27.784;Tiempo
176;24.873;Tiempo
177;26.975;Tiempo
178;29.155;Tiempo
179;27.98;Tiempo
180;27.94;Tiempo
181;27.533;Tiempo
182;29.315;Tiempo
183;29.856;Tiempo
184;28.477;Tiempo
185;24.572;Tiempo
186;29.307;Tiempo
187;28.263;Tiempo
188;30.288;Tiempo
189;25.842;Tiempo
190;27.746;Tiempo
191;29.203;Tiempo
192;30.302;Tiempo
193;29.599;Tiempo
194;27.548;Tiempo
195;28.799;Tiempo
196;21.235;Tiempo
197;22.289;Tiempo
198;26.71;Tiempo
199;28.047;Tiempo
200;29.744;Tiempo
201;28.74;Tiempo
202;26.809;Tiempo
203;29.81;Tiempo
204;28.781;Tiempo
205;30.369;Tiempo
206;25.81;Tiempo
207;28.096;Tiempo
208;24.508;Tiempo
209;24.079;Tiempo
210;28.713;Tiempo
211;27.018;Tiempo
212;27.304;Tiempo
213;29.386;Tiempo
214;29.149;Tiempo
215;26.621;Tiempo
216;23.444;Tiempo
217;29.428;Tiempo
218;28.527;Tiempo
219;29.477;Tiempo
220;30.33;Tiempo
221;29.097;Tiempo
222;24.949;Tiempo
223;24.356;Tiempo
224;26.395;Tiempo
225;25.729;Tiempo
226;25.986;Tiempo
227;23.414;Tiempo
228;28.781;Tiempo
229;29.464;Tiempo
230;27.083;Tiempo
231;30.059;Tiempo
232;17.842;Tiempo
233;28.467;Tiempo
234;30.384;Tiempo
235;29.371;Tiempo
236;29.698;Tiempo
237;25.658;Tiempo
238;28.746;Tiempo
239;26.947;Tiempo
240;30.457;Tiempo
241;28.078;Tiempo
242;21.851;Tiempo
243;23.647;Tiempo
244;23.243;Tiempo
245;21.045;Tiempo
246;27.904;Tiempo
247;28.677;Tiempo
248;29.028;Tiempo
249;28.791;Tiempo
250;29.03;Tiempo
251;26.893;Tiempo
252;28.773;Tiempo
253;29.45;Tiempo
254;28.439;Tiempo
255;25.576;Tiempo
256;20.162;Tiempo
257;29.373;Tiempo
258;25.649;Tiempo
259;29.326;Tiempo
260;26.379;Tiempo
261;28.467;Tiempo
262;30.265;Tiempo
263;29.901;Tiempo
264;29.753;Tiempo
265;27.927;Tiempo
266;27.899;Tiempo
267;28.406;Tiempo
268;28.043;Tiempo
269;30.417;Tiempo
270;30.355;Tiempo
271;30.475;Tiempo
272;28.09;Tiempo
273;29.005;Tiempo
274;30.674;Tiempo
275;20.39;Tiempo
276;29.14;Tiempo
277;29.639;Tiempo
278;28.373;Tiempo
279;29.126;Tiempo
280;29.248;Tiempo
281;23.09;Tiempo
282;28.504;Tiempo
283;30.429;Tiempo
284;20.601;Tiempo
285;28.93;Tiempo
286;27.199;Tiempo
287;29.045;Tiempo
288;24.443;Tiempo
289;27.754;Tiempo
290;29.98;Tiempo
291;29.774;Tiempo
292;30.3;Tiempo
293;30.199;Tiempo
294;29.078;Tiempo
295;30.003;Tiempo
296;29.903;Tiempo
297;27.456;Tiempo
298;28.513;Tiempo
299;25.056;Tiempo
300;29.577;Tiempo
301;30.387;Tiempo
302;27.22;Tiempo
303;28.064;Tiempo
304;29.849;Tiempo
305;30.427;Tiempo
306;29.561;Tiempo
307;27.173;Tiempo
308;23.824;Tiempo
309;29.208;Tiempo
310;30.166;Tiempo
311;30.146;Tiempo
312;30.731;Tiempo
313;30.133;Tiempo
314;26.593;Tiempo
315;28.105;Tiempo
316;28.404;Tiempo
317;26.888;Tiempo
318;30.63;Tiempo
319;29.027;Tiempo
320;28.013;Tiempo
321;21.871;Tiempo
322;26.359;Tiempo
323;28.874;Tiempo
324;28.95;Tiempo
325;30.635;Tiempo
326;18.248;Tiempo
327;29.59;Tiempo
328;28.372;Tiempo
329;27.548;Tiempo
330;26.722;Tiempo
331;30.754;Tiempo
332;29.393;Tiempo
333;29.629;Tiempo
334;27.475;Tiempo
335;23.46;Colision
336;17.406;Tiempo
337;28.552;Tiempo
338;27.323;Tiempo
339;26.196;Tiempo
340;21.81;Tiempo
341;28.704;Tiempo
342;28.861;Tiempo
343;29.733;Tiempo
344;28.989;Tiempo
345;25.866;Tiempo
346;28.777;Tiempo
347;24.886;Tiempo
348;28.46;Tiempo
349;28.936;Tiempo
350;29.421;Tiempo
351;29.566;Tiempo
352;22.306;Tiempo
353;25.268;Tiempo
354;29.032;Tiempo
355;26.96;Tiempo
356;26.712;Tiempo
357;30.15;Tiempo
358;29.559;Tiempo
359;30.132;Tiempo
360;25.5;Tiempo
361;28.188;Tiempo
362;27.807;Tiempo
363;29.376;Tiempo
364;28.915;Tiempo
365;30.369;Tiempo
366;29.042;Tiempo
367;30.057;Tiempo
368;27.799;Tiempo
369;29.694;Tiempo
370;26.224;Tiempo
371;29.044;Tiempo
372;29.717;Tiempo
373;30.687;Tiempo
374;29.74;Tiempo
375;29.732;Tiempo
376;29.286;Tiempo
377;30.526;Tiempo
378;24.174;Tiempo
