Episodio;Perdida
20;33593.173
40;32018.958
60;23455.603
80;22979.29
100;29928.857
120;17359.563
140;22682.416
160;26858.806
180;24023.576
200;16317.553
220;16993.528
240;19265.614
260;22077.85
280;23359.525
300;33449.848
320;17146.634
340;24318.141
360;18032.216
380;23681.26
400;20874.27
420;15629.269
440;21666.943
460;18854.657
480;21208.488
500;20563.486
