Episodio;Perdida
20;37163.664
40;34665.536
60;43083.83
80;36481.941
100;41017.0
120;55469.447
140;70232.662
160;68169.957
180;73567.715
200;78309.625
220;61733.27
240;60922.32
260;66795.568
280;55637.445
300;62280.496
320;52056.176
340;49171.352
360;48522.59
380;40728.125
400;44533.604
420;43725.207
440;35874.91
460;28648.016
480;31574.236
500;36341.354
