Episodio;Distancia;Tipo
1;3.373;Colision
2;9.771;Tiempo
3;12.206;Tiempo
4;6.249;Colision
5;6.097;Colision
6;0.5;Objetivo
7;0.82;Objetivo
8;11.58;Colision
9;4.395;Colision
10;20.148;Colision
11;12.059;Colision
12;4.057;Colision
13;6.541;Colision
14;9.165;Colision
15;4.601;Colision
16;0.921;Objetivo
17;17.407;Tiempo
18;5.478;Colision
19;29.591;Tiempo
20;11.991;Colision
21;0.509;Objetivo
22;4.103;Tiempo
23;8.827;Colision
24;10.04;Colision
25;11.294;Colision
26;8.682;Colision
27;10.516;Tiempo
28;10.806;Colision
29;5.869;Colision
30;21.423;Tiempo
31;11.915;Colision
32;2.705;Colision
33;12.786;Colision
34;36.833;Tiempo
35;4.025;Colision
36;0.606;Objetivo
37;8.65;Colision
38;13.896;Tiempo
39;0.869;Objetivo
40;8.486;Colision
41;6.029;Colision
42;14.105;Colision
43;10.366;Colision
44;27.184;Tiempo
45;11.65;Colision
46;6.163;Colision
47;23.717;Colision
48;11.295;Colision
49;2.915;Colision
50;14.823;Colision
51;8.124;Colision
52;11.094;Colision
53;0.435;Objetivo
54;19.487;Colision
55;7.408;Colision
56;19.981;Tiempo
57;15.657;Colision
58;7.582;Colision
59;8.797;Colision
60;7.031;Colision
61;27.25;Colision
62;5.884;Colision
63;37.169;Tiempo
64;4.683;Colision
65;6.72;Colision
66;12.022;Colision
67;11.491;Colision
68;13.296;Colision
69;39.613;Colision
70;21.297;Tiempo
71;4.125;Colision
72;12.67;Colision
73;13.669;Tiempo
74;13.862;Tiempo
75;9.311;Colision
76;2.337;Colision
77;19.203;Tiempo
78;11.936;Tiempo
79;0.601;Objetivo
80;0.763;Objetivo
81;18.427;Tiempo
82;2.387;Colision
83;3.587;Colision
84;27.382;Colision
85;12.735;Tiempo
86;10.837;Colision
87;0.377;Objetivo
88;12.044;Colision
89;6.967;Colision
90;4.059;Colision
91;20.827;Colision
92;20.215;Tiempo
93;15.722;Colision
94;2.97;Colision
95;3.901;Tiempo
96;11.616;Colision
97;8.297;Tiempo
98;8.636;Colision
99;15.098;Colision
100;6.251;Colision
101;24.975;Tiempo
102;15.883;Colision
103;5.907;Colision
104;3.816;Colision
105;0.812;Objetivo
106;20.397;Tiempo
107;10.775;Colision
108;6.47;Colision
109;10.654;Colision
110;18.06;Tiempo
111;0.616;Objetivo
112;16.449;Colision
113;10.989;Colision
114;13.095;Colision
115;0.943;Objetivo
116;7.939;Colision
117;9.446;Colision
118;5.927;Colision
119;8.611;Colision
120;18.676;Tiempo
121;10.208;Colision
122;10.78;Colision
123;19.606;Colision
124;6.727;Colision
125;11.95;Colision
126;18.45;Tiempo
127;10.875;Colision
128;14.481;Colision
129;11.617;Colision
130;7.655;Colision
131;16.751;Colision
132;16.599;Colision
133;10.794;Tiempo
134;0.528;Objetivo
135;6.821;Colision
136;11.377;Colision
137;8.805;Colision
138;14.774;Colision
139;7.106;Colision
140;0.973;Objetivo
141;2.941;Colision
142;12.304;Colision
143;5.341;Tiempo
144;7.144;Colision
145;6.387;Tiempo
146;15.374;Colision
147;11.937;Colision
148;12.104;Colision
149;11.932;Colision
150;2.58;Colision
151;3.385;Colision
152;5.859;Colision
153;11.807;Colision
154;37.937;Tiempo
155;22.655;Colision
156;20.014;Colision
157;6.627;Colision
158;24.995;Tiempo
159;5.732;Colision
160;27.816;Colision
161;7.491;Colision
162;7.201;Tiempo
163;2.647;Colision
164;34.652;Tiempo
165;15.902;Tiempo
166;10.803;Colision
167;8.946;Tiempo
168;8.791;Colision
169;5.861;Colision
170;0.812;Objetivo
171;9.401;Colision
172;27.252;Colision
173;3.983;Tiempo
174;11.45;Colision
175;30.546;Tiempo
176;30.389;Tiempo
177;11.902;Colision
178;0.781;Objetivo
179;3.2;Colision
180;0.971;Objetivo
181;5.703;Colision
182;0.698;Objetivo
183;0.703;Objetivo
184;27.346;Tiempo
185;5.663;Colision
186;19.668;Tiempo
187;10.871;Colision
188;17.841;Colision
189;2.47;Colision
190;21.146;Tiempo
191;6.587;Colision
192;3.597;Colision
193;10.709;Colision
194;7.89;Colision
195;0.953;Objetivo
196;20.641;Colision
197;19.946;Tiempo
198;4.864;Colision
199;11.651;Colision
200;10.722;Colision
201;14.119;Colision
202;0.039;Objetivo
203;24.668;Tiempo
204;8.012;Tiempo
205;16.904;Colision
206;10.055;Colision
207;5.834;Tiempo
208;0.605;Objetivo
209;5.292;Colision
210;8.014;Colision
211;11.84;Colision
212;5.122;Colision
213;2.912;Colision
214;11.637;Colision
215;2.696;Colision
216;0.877;Objetivo
217;13.275;Tiempo
218;22.858;Colision
219;34.583;Tiempo
220;8.44;Colision
221;7.47;Tiempo
222;33.957;Tiempo
223;2.937;Colision
224;28.717;Tiempo
225;20.757;Tiempo
226;0.568;Objetivo
227;3.594;Colision
228;0.631;Objetivo
229;15.448;Tiempo
230;9.754;Colision
231;7.008;Colision
232;5.791;Colision
233;13.482;Tiempo
234;10.643;Colision
235;15.019;Colision
236;18.217;Tiempo
237;15.257;Colision
238;8.35;Colision
239;8.994;Colision
240;9.32;Tiempo
241;0.3;Objetivo
242;32.009;Tiempo
243;24.849;Tiempo
244;2.0;Colision
245;9.743;Colision
246;0.286;Objetivo
247;10.835;Colision
248;8.614;Colision
249;25.494;Tiempo
250;18.6;Colision
251;17.62;Tiempo
252;15.407;Colision
253;7.911;Tiempo
254;3.709;Colision
255;18.539;Colision
256;10.535;Tiempo
257;9.066;Tiempo
258;3.474;Colision
259;12.404;Tiempo
260;0.155;Objetivo
261;14.18;Tiempo
262;20.084;Colision
263;27.322;Colision
264;26.496;Tiempo
265;26.066;Tiempo
266;7.21;Colision
267;2.598;Colision
268;10.442;Tiempo
269;15.414;Colision
270;11.089;Colision
271;7.957;Tiempo
272;7.797;Tiempo
273;0.348;Objetivo
274;27.874;Tiempo
275;17.916;Colision
276;0.445;Objetivo
277;13.743;Colision
278;14.615;Colision
279;37.334;Tiempo
280;40.401;Tiempo
281;15.691;Colision
282;0.295;Objetivo
283;1.523;Tiempo
284;10.957;Colision
285;0.237;Objetivo
286;6.767;Colision
287;12.38;Colision
288;9.131;Colision
289;5.093;Colision
290;27.87;Tiempo
291;34.776;Tiempo
292;3.368;Colision
293;10.831;Colision
294;14.082;Colision
295;10.114;Colision
296;10.836;Colision
297;0.924;Objetivo
298;8.859;Colision
299;6.874;Colision
300;19.026;Colision
301;19.771;Colision
302;17.976;Colision
303;6.917;Colision
304;14.582;Colision
305;0.732;Objetivo
306;27.402;Tiempo
307;18.979;Colision
308;11.098;Colision
309;11.095;Tiempo
310;4.842;Colision
311;16.463;Colision
312;0.683;Objetivo
313;11.758;Colision
314;3.465;Colision
315;10.517;Colision
316;0.744;Objetivo
317;4.746;Colision
318;7.166;Colision
319;5.111;Tiempo
320;11.458;Colision
321;4.42;Tiempo
322;16.965;Tiempo
323;24.349;Tiempo
324;18.779;Tiempo
325;11.795;Colision
326;11.542;Colision
327;12.34;Colision
328;0.977;Objetivo
329;10.689;Colision
330;7.734;Colision
331;2.336;Colision
332;16.899;Colision
333;13.475;Colision
334;13.406;Colision
335;3.811;Colision
336;10.526;Colision
337;17.577;Tiempo
338;39.418;Tiempo
339;19.325;Tiempo
340;8.955;Tiempo
341;11.576;Colision
342;8.415;Colision
343;9.143;Colision
344;12.273;Colision
345;6.663;Colision
346;6.08;Colision
347;7.122;Colision
348;16.458;Tiempo
349;27.61;Colision
350;20.518;Tiempo
351;3.57;Colision
352;3.245;Colision
353;11.057;Tiempo
354;6.823;Tiempo
355;5.332;Colision
356;6.147;Colision
357;11.44;Colision
358;11.304;Tiempo
359;20.231;Colision
360;26.202;Tiempo
361;6.037;Colision
362;3.726;Colision
363;38.062;Tiempo
364;15.603;Colision
365;10.363;Colision
366;6.209;Colision
367;5.62;Colision
368;4.021;Colision
369;15.641;Colision
370;20.61;Colision
371;34.535;Colision
372;38.134;Tiempo
373;20.362;Tiempo
374;12.168;Colision
375;11.269;Tiempo
376;14.158;Colision
377;5.146;Colision
378;13.36;Colision
379;13.991;Colision
380;0.036;Objetivo
381;11.661;Colision
382;23.048;Tiempo
383;13.544;Tiempo
384;8.768;Colision
385;0.969;Objetivo
386;9.531;Colision
387;19.557;Tiempo
388;0.714;Objetivo
389;12.989;Colision
390;5.141;Colision
391;5.191;Colision
392;11.528;Colision
393;7.755;Colision
394;11.045;Colision
395;14.864;Colision
396;6.924;Colision
397;11.044;Colision
398;0.762;Objetivo
399;19.887;Colision
400;0.436;Objetivo
401;12.608;Tiempo
402;0.562;Objetivo
403;18.505;Colision
404;0.851;Objetivo
405;8.438;Tiempo
406;19.993;Colision
407;12.499;Colision
408;8.944;Tiempo
409;8.664;Tiempo
410;18.023;Colision
411;11.184;Colision
412;11.519;Tiempo
413;12.257;Tiempo
414;12.183;Colision
415;0.875;Objetivo
416;7.09;Colision
417;5.163;Tiempo
418;2.556;Colision
419;7.177;Colision
420;0.182;Objetivo
421;9.275;Colision
422;28.112;Tiempo
423;8.347;Tiempo
424;10.529;Tiempo
425;7.19;Colision
426;0.856;Objetivo
427;11.976;Colision
428;17.659;Colision
429;18.07;Colision
430;3.136;Colision
431;8.144;Colision
432;2.672;Colision
433;0.519;Objetivo
434;17.524;Colision
435;13.239;Tiempo
436;6.878;Colision
437;13.722;Colision
438;5.82;Colision
439;20.564;Colision
440;14.984;Colision
441;7.779;Colision
442;36.608;Tiempo
443;8.697;Colision
444;11.799;Colision
445;7.548;Colision
446;11.59;Colision
447;16.039;Colision
448;13.491;Colision
449;0.944;Objetivo
450;3.618;Colision
451;8.838;Colision
452;11.988;Colision
453;11.222;Colision
454;5.554;Colision
455;4.437;Colision
456;11.319;Colision
457;7.865;Colision
458;13.483;Colision
459;12.986;Colision
460;5.861;Colision
461;12.89;Colision
462;19.361;Colision
463;4.044;Colision
464;7.854;Colision
465;26.342;Tiempo
466;17.6;Colision
467;0.994;Objetivo
468;16.427;Colision
469;0.542;Objetivo
470;28.726;Tiempo
471;9.647;Tiempo
472;11.43;Colision
473;19.07;Colision
474;0.371;Objetivo
475;5.924;Colision
476;10.242;Colision
477;0.399;Objetivo
478;9.696;Colision
479;0.344;Objetivo
480;21.638;Colision
481;0.727;Objetivo
482;10.713;Tiempo
483;0.337;Objetivo
484;11.725;Colision
485;0.944;Objetivo
486;0.957;Objetivo
487;2.817;Colision
488;12.227;Colision
489;5.57;Tiempo
490;8.271;Colision
491;21.062;Tiempo
492;11.01;Tiempo
493;9.799;Colision
494;31.109;Tiempo
495;6.56;Colision
496;9.535;Colision
497;10.052;Colision
498;13.84;Colision
499;14.388;Tiempo
500;31.236;Tiempo
