Episodio;Distancia;Tipo
1;23.906;Tiempo
2;29.775;Tiempo
3;29.727;Tiempo
4;28.331;Tiempo
5;29.802;Tiempo
6;27.866;Tiempo
7;29.671;Tiempo
8;28.734;Tiempo
9;29.312;Tiempo
10;29.559;Tiempo
11;29.952;Tiempo
12;29.72;Tiempo
13;27.333;Tiempo
14;29.722;Tiempo
15;29.341;Tiempo
16;29.781;Tiempo
17;29.149;Tiempo
18;29.401;Tiempo
19;30.0;Tiempo
20;26.028;Tiempo
21;28.393;Tiempo
22;29.58;Tiempo
23;29.073;Tiempo
24;29.016;Tiempo
25;29.275;Tiempo
26;29.24;Tiempo
27;29.387;Tiempo
28;28.871;Tiempo
29;27.542;Tiempo
30;24.568;Tiempo
31;30.0;Tiempo
32;30.0;Tiempo
33;29.734;Tiempo
34;29.593;Tiempo
35;29.451;Tiempo
36;29.622;Tiempo
37;28.706;Tiempo
38;29.441;Tiempo
39;28.618;Tiempo
40;30.0;Tiempo
41;29.388;Tiempo
42;30.0;Tiempo
43;30.0;Tiempo
44;29.076;Tiempo
45;29.341;Tiempo
46;28.063;Tiempo
47;27.523;Tiempo
48;29.582;Tiempo
49;30.0;Tiempo
50;29.631;Tiempo
51;29.616;Tiempo
52;29.828;Tiempo
53;28.874;Tiempo
54;29.831;Tiempo
55;29.209;Tiempo
56;29.688;Tiempo
57;28.907;Tiempo
58;29.461;Tiempo
59;29.763;Tiempo
60;28.721;Tiempo
61;29.802;Tiempo
62;29.457;Tiempo
63;27.913;Tiempo
64;27.842;Tiempo
65;29.918;Tiempo
66;29.673;Tiempo
67;29.279;Tiempo
68;29.832;Tiempo
69;29.976;Tiempo
70;29.161;Tiempo
71;29.653;Tiempo
72;29.545;Tiempo
73;29.38;Tiempo
74;30.0;Tiempo
75;29.582;Tiempo
76;28.485;Tiempo
77;28.992;Tiempo
78;30.0;Tiempo
79;28.882;Tiempo
80;29.867;Tiempo
81;24.565;Tiempo
82;29.738;Tiempo
83;29.765;Tiempo
84;29.406;Tiempo
85;29.522;Tiempo
86;29.753;Tiempo
87;28.252;Tiempo
88;30.0;Tiempo
89;29.687;Tiempo
90;29.532;Tiempo
91;29.794;Tiempo
92;23.431;Tiempo
93;26.675;Tiempo
94;29.762;Tiempo
95;29.762;Tiempo
96;29.84;Tiempo
97;29.843;Tiempo
98;30.0;Tiempo
99;29.389;Tiempo
100;27.747;Tiempo
101;20.093;Colision
102;9.295;Tiempo
103;5.676;Tiempo
104;8.157;Colision
105;0.768;Objetivo
106;9.528;Colision
107;9.706;Colision
108;7.964;Colision
109;5.622;Tiempo
110;0.965;Objetivo
111;11.094;Colision
112;5.296;Tiempo
113;4.798;Colision
114;3.904;Tiempo
115;0.909;Objetivo
116;6.85;Tiempo
117;6.395;Tiempo
118;9.431;Tiempo
119;0.699;Objetivo
120;21.801;Colision
121;7.041;Colision
122;26.94;Tiempo
123;1.266;Tiempo
124;0.629;Objetivo
125;14.304;Colision
126;5.298;Colision
127;16.525;Colision
128;19.117;Colision
129;7.516;Tiempo
130;5.705;Colision
131;3.348;Tiempo
132;11.734;Colision
133;9.967;Colision
134;0.443;Objetivo
135;12.651;Colision
136;17.087;Colision
137;8.082;Tiempo
138;8.567;Colision
139;9.485;Colision
140;16.775;Tiempo
141;9.569;Tiempo
142;14.65;Colision
143;6.263;Colision
144;6.649;Colision
145;7.077;Tiempo
146;13.659;Tiempo
147;3.702;Colision
148;2.702;Colision
149;6.508;Colision
150;7.589;Colision
151;0.997;Objetivo
152;4.698;Tiempo
153;9.154;Tiempo
154;11.685;Tiempo
155;4.754;Colision
156;3.904;Colision
157;11.306;Colision
158;11.633;Colision
159;16.734;Colision
160;5.853;Tiempo
161;16.749;Colision
162;7.32;Colision
163;7.454;Colision
164;3.895;Tiempo
165;13.471;Colision
166;7.944;Colision
167;6.648;Tiempo
168;9.464;Colision
169;5.418;Tiempo
170;12.497;Tiempo
171;17.319;Colision
172;20.708;Tiempo
173;8.959;Colision
174;4.097;Tiempo
175;5.678;Tiempo
176;18.774;Tiempo
177;7.929;Colision
178;0.681;Objetivo
179;9.293;Tiempo
180;17.652;Colision
181;6.978;Tiempo
182;15.818;Tiempo
183;1.296;Tiempo
184;15.725;Colision
185;2.87;Tiempo
186;14.071;Tiempo
187;10.583;Colision
188;0.438;Tiempo
189;15.308;Colision
190;16.524;Colision
191;9.992;Tiempo
192;9.057;Tiempo
193;13.812;Colision
194;11.969;Colision
195;15.267;Colision
196;13.61;Colision
197;6.353;Tiempo
198;12.594;Colision
199;0.76;Objetivo
200;11.278;Colision
201;29.198;Tiempo
202;27.618;Tiempo
203;29.582;Tiempo
204;29.407;Tiempo
205;28.749;Tiempo
206;29.886;Tiempo
207;29.668;Tiempo
208;29.388;Tiempo
209;30.215;Tiempo
210;29.841;Tiempo
211;29.996;Tiempo
212;27.824;Tiempo
213;29.708;Tiempo
214;29.893;Tiempo
215;30.322;Tiempo
216;30.801;Tiempo
217;29.942;Tiempo
218;30.0;Tiempo
219;27.425;Tiempo
220;28.702;Tiempo
221;29.47;Tiempo
222;29.466;Tiempo
223;30.163;Tiempo
224;30.657;Tiempo
225;30.862;Tiempo
226;29.309;Tiempo
227;30.0;Tiempo
228;30.117;Tiempo
229;30.83;Tiempo
230;28.125;Tiempo
231;28.75;Tiempo
232;28.276;Tiempo
233;29.361;Tiempo
234;30.285;Tiempo
235;29.513;Tiempo
236;29.466;Tiempo
237;29.133;Tiempo
238;29.935;Tiempo
239;30.0;Tiempo
240;29.652;Tiempo
241;29.302;Tiempo
242;30.0;Tiempo
243;25.782;Tiempo
244;28.187;Tiempo
245;30.914;Tiempo
246;31.0;Tiempo
247;29.933;Tiempo
248;30.652;Tiempo
249;29.708;Tiempo
250;29.952;Tiempo
251;30.18;Tiempo
252;30.959;Tiempo
253;30.873;Tiempo
254;29.897;Tiempo
255;29.035;Tiempo
256;28.78;Tiempo
257;30.494;Tiempo
258;30.819;Tiempo
259;29.693;Tiempo
260;30.806;Tiempo
261;30.724;Tiempo
262;29.84;Tiempo
263;30.614;Tiempo
264;30.538;Tiempo
265;29.358;Tiempo
266;30.911;Tiempo
267;29.904;Tiempo
268;30.0;Tiempo
269;29.805;Tiempo
270;30.0;Tiempo
271;31.0;Tiempo
272;31.0;Tiempo
273;29.493;Tiempo
274;30.443;Tiempo
275;30.508;Tiempo
276;31.0;Tiempo
277;30.465;Tiempo
278;30.254;Tiempo
279;27.45;Tiempo
280;30.852;Tiempo
281;30.629;Tiempo
282;29.178;Tiempo
283;28.9;Tiempo
284;29.9;Tiempo
