Episodio,Precision
20,[0.3125]
40,[0.125]
60,[0.25]
80,[0.40625]
100,[0.34375]
120,[0.40625]
140,[0.3125]
160,[0.21875]
180,[0.1875]
200,[0.28125]
220,[0.375]
240,[0.28125]
260,[0.15625]
280,[0.1875]
300,[0.3125]
320,[0.3125]
340,[0.3125]
360,[0.34375]
380,[0.40625]
400,[0.34375]
420,[0.5]
440,[0.5625]
460,[0.28125]
480,[0.3125]
500,[0.40625]
520,[0.375]
540,[0.40625]
560,[0.40625]
580,[0.28125]
600,[0.375]
620,[0.46875]
640,[0.34375]
660,[0.34375]
680,[0.46875]
700,[0.28125]
720,[0.40625]
740,[0.34375]
760,[0.34375]
780,[0.46875]
800,[0.5]
820,[0.375]
840,[0.25]
860,[0.21875]
880,[0.28125]
900,[0.375]
920,[0.4375]
940,[0.3125]
960,[0.34375]
980,[0.34375]
1000,[0.375]
