Episodio,Perdida
20,[4734.15771484375]
40,[4476.1923828125]
60,[4168.38134765625]
80,[4623.90234375]
100,[4504.171875]
120,[4910.7392578125]
140,[4550.6748046875]
160,[4845.43359375]
180,[4524.6103515625]
200,[5113.701171875]
220,[7106.7001953125]
240,[3859.294921875]
260,[4510.8466796875]
280,[4078.13623046875]
300,[5067.96923828125]
320,[3889.9814453125]
340,[5860.5244140625]
360,[4490.8544921875]
380,[4460.83447265625]
400,[4267.53759765625]
420,[4545.61328125]
440,[5880.28076171875]
460,[4646.69482421875]
480,[5993.7333984375]
500,[4314.5400390625]
520,[5110.5810546875]
540,[5699.05859375]
560,[6380.302734375]
580,[4956.041015625]
600,[6576.935546875]
620,[4470.943359375]
640,[5280.4296875]
660,[4184.35546875]
680,[4791.9833984375]
700,[5043.91796875]
720,[8131.9912109375]
740,[5515.49609375]
760,[7812.02685546875]
780,[5143.28369140625]
800,[4679.5400390625]
820,[4734.36572265625]
840,[4651.4990234375]
860,[5432.2001953125]
880,[4290.501953125]
900,[7427.16845703125]
920,[9950.576171875]
940,[7007.8720703125]
960,[5362.7978515625]
980,[8474.0595703125]
1000,[4786.83154296875]
