Episodio;Distancia;Tipo
1;12.756;Tiempo
2;10.011;Tiempo
3;6.834;Tiempo
4;18.16;Tiempo
5;8.039;Tiempo
6;25.697;Colision
7;25.274;Tiempo
8;6.604;Tiempo
9;1.446;Tiempo
10;3.617;Tiempo
11;5.882;Tiempo
12;22.447;Tiempo
13;6.254;Tiempo
14;5.829;Tiempo
15;2.569;Tiempo
16;6.474;Tiempo
17;22.02;Tiempo
18;3.233;Tiempo
19;7.882;Tiempo
20;11.864;Tiempo
21;9.814;Tiempo
22;4.51;Tiempo
23;20.611;Tiempo
24;15.765;Tiempo
25;22.139;Tiempo
26;3.006;Tiempo
27;0.928;Objetivo
28;0.933;Objetivo
29;5.363;Tiempo
30;9.167;Tiempo
31;2.647;Tiempo
32;20.707;Tiempo
33;15.722;Tiempo
34;10.571;Tiempo
35;8.839;Tiempo
36;9.339;Tiempo
37;9.378;Tiempo
38;9.86;Tiempo
39;10.941;Tiempo
40;13.696;Tiempo
41;6.266;Tiempo
42;16.398;Tiempo
43;4.739;Tiempo
44;7.152;Tiempo
45;21.857;Tiempo
46;27.832;Tiempo
47;23.921;Tiempo
48;7.951;Tiempo
49;4.142;Tiempo
50;6.855;Tiempo
51;28.452;Tiempo
52;8.572;Tiempo
53;0.911;Objetivo
54;3.367;Tiempo
55;11.065;Tiempo
56;9.412;Tiempo
57;8.78;Colision
58;18.569;Tiempo
59;8.868;Tiempo
60;12.48;Tiempo
61;8.119;Tiempo
62;28.782;Tiempo
63;17.028;Tiempo
64;8.633;Tiempo
65;6.184;Tiempo
66;19.081;Tiempo
67;6.779;Tiempo
68;5.235;Tiempo
69;14.063;Tiempo
70;24.714;Tiempo
71;3.078;Tiempo
72;10.032;Tiempo
73;2.378;Tiempo
74;11.556;Tiempo
75;19.718;Tiempo
76;13.198;Tiempo
77;5.671;Tiempo
78;17.637;Tiempo
79;6.116;Tiempo
80;6.622;Colision
81;8.205;Tiempo
82;8.071;Colision
83;8.957;Tiempo
84;3.825;Tiempo
85;3.684;Tiempo
86;11.827;Tiempo
87;8.401;Tiempo
88;3.019;Tiempo
89;4.157;Tiempo
90;15.524;Tiempo
91;11.602;Tiempo
92;9.17;Tiempo
93;14.863;Tiempo
94;4.841;Tiempo
95;12.116;Tiempo
96;8.537;Tiempo
97;3.281;Tiempo
98;10.268;Tiempo
99;5.765;Tiempo
100;11.138;Tiempo
101;14.009;Tiempo
102;7.33;Tiempo
103;13.252;Tiempo
104;3.406;Tiempo
105;10.598;Tiempo
106;22.367;Tiempo
107;4.77;Tiempo
108;7.093;Tiempo
109;15.977;Tiempo
110;9.083;Tiempo
111;10.646;Tiempo
112;19.671;Tiempo
113;11.74;Tiempo
114;25.9;Tiempo
115;14.64;Tiempo
116;15.428;Colision
117;3.685;Tiempo
118;6.17;Colision
119;9.237;Tiempo
120;10.49;Colision
121;3.341;Tiempo
122;23.739;Tiempo
123;16.284;Tiempo
124;4.636;Tiempo
125;9.876;Tiempo
126;24.247;Tiempo
127;15.057;Tiempo
128;19.8;Tiempo
129;6.879;Tiempo
130;12.466;Colision
131;20.573;Tiempo
132;0.976;Objetivo
133;23.97;Tiempo
134;24.063;Tiempo
135;21.912;Tiempo
136;5.423;Tiempo
137;21.864;Tiempo
138;8.222;Tiempo
139;9.054;Tiempo
140;14.922;Tiempo
141;16.623;Tiempo
142;6.167;Tiempo
143;20.706;Tiempo
144;1.744;Tiempo
145;18.893;Tiempo
146;19.725;Colision
147;8.791;Tiempo
148;9.542;Tiempo
149;12.302;Tiempo
150;0.95;Objetivo
151;15.265;Tiempo
152;12.215;Tiempo
153;5.091;Tiempo
154;9.248;Colision
155;6.567;Tiempo
156;10.133;Tiempo
157;19.888;Tiempo
158;18.692;Tiempo
159;5.336;Tiempo
160;9.205;Tiempo
161;7.428;Tiempo
162;18.74;Tiempo
163;12.798;Colision
164;10.557;Tiempo
165;25.392;Tiempo
166;10.47;Tiempo
167;16.13;Tiempo
168;4.964;Tiempo
169;13.996;Colision
170;6.123;Tiempo
171;10.323;Colision
172;4.873;Tiempo
173;10.954;Tiempo
174;12.944;Colision
175;11.704;Tiempo
176;7.765;Tiempo
177;23.981;Tiempo
178;7.82;Tiempo
179;10.259;Tiempo
180;11.608;Tiempo
181;13.907;Tiempo
182;3.605;Tiempo
183;0.963;Objetivo
184;3.181;Tiempo
185;22.245;Tiempo
186;9.956;Tiempo
187;11.738;Tiempo
188;12.714;Tiempo
189;5.159;Tiempo
190;1.859;Tiempo
191;3.253;Tiempo
192;15.578;Colision
193;3.695;Tiempo
194;7.121;Tiempo
195;6.94;Colision
196;16.634;Tiempo
197;14.379;Tiempo
198;15.406;Tiempo
199;23.099;Tiempo
200;7.083;Tiempo
201;15.877;Colision
202;10.686;Tiempo
203;0.273;Objetivo
204;8.204;Tiempo
205;21.312;Tiempo
206;9.529;Tiempo
207;11.094;Tiempo
208;8.171;Tiempo
209;7.212;Tiempo
210;8.969;Tiempo
211;5.675;Tiempo
212;28.123;Tiempo
213;14.784;Colision
214;8.483;Colision
215;15.042;Colision
216;8.085;Tiempo
217;6.134;Tiempo
218;1.284;Tiempo
219;11.288;Tiempo
220;7.924;Tiempo
221;4.27;Tiempo
222;13.278;Tiempo
223;6.77;Tiempo
224;4.183;Tiempo
225;26.889;Tiempo
226;24.135;Tiempo
227;13.355;Tiempo
228;22.526;Tiempo
229;14.983;Tiempo
230;9.583;Tiempo
231;11.509;Tiempo
232;12.24;Tiempo
233;10.646;Colision
234;8.359;Tiempo
235;19.143;Tiempo
236;10.305;Tiempo
237;19.571;Colision
238;11.963;Colision
239;26.387;Tiempo
240;13.504;Tiempo
241;11.392;Colision
242;6.205;Tiempo
243;17.604;Tiempo
244;0.898;Objetivo
245;13.251;Colision
246;8.335;Tiempo
247;19.197;Tiempo
248;6.618;Tiempo
249;15.672;Tiempo
250;3.809;Tiempo
251;8.311;Tiempo
252;14.757;Tiempo
253;20.193;Tiempo
254;9.824;Tiempo
255;27.969;Tiempo
256;7.318;Tiempo
257;8.201;Tiempo
258;23.093;Tiempo
259;17.641;Tiempo
260;27.964;Tiempo
261;14.68;Colision
262;15.079;Tiempo
263;1.496;Tiempo
264;20.749;Tiempo
265;14.622;Colision
266;6.817;Tiempo
267;6.857;Tiempo
268;8.907;Tiempo
269;7.111;Tiempo
270;18.772;Tiempo
271;6.505;Tiempo
272;8.592;Colision
273;24.912;Tiempo
274;11.907;Tiempo
275;4.512;Tiempo
276;9.153;Colision
277;1.307;Tiempo
278;2.674;Tiempo
279;11.916;Colision
280;6.248;Tiempo
281;25.97;Tiempo
282;4.034;Tiempo
283;6.696;Tiempo
284;5.621;Colision
285;12.054;Tiempo
286;7.88;Tiempo
287;5.368;Tiempo
288;9.702;Tiempo
289;6.695;Tiempo
290;17.608;Tiempo
291;9.897;Tiempo
292;7.412;Tiempo
293;13.322;Tiempo
294;21.37;Tiempo
295;15.994;Tiempo
296;8.121;Tiempo
297;9.815;Tiempo
298;0.882;Objetivo
299;25.45;Tiempo
300;10.79;Tiempo
301;11.873;Colision
302;0.985;Objetivo
303;22.89;Tiempo
304;13.367;Tiempo
305;11.008;Tiempo
306;19.323;Tiempo
307;15.469;Tiempo
308;0.901;Objetivo
309;13.537;Tiempo
310;8.746;Tiempo
311;20.755;Tiempo
312;11.78;Tiempo
313;16.33;Tiempo
314;10.077;Tiempo
315;15.829;Colision
316;17.957;Tiempo
317;9.807;Colision
318;21.821;Tiempo
319;11.432;Tiempo
320;13.837;Tiempo
321;18.981;Colision
322;12.017;Colision
323;7.327;Tiempo
324;19.275;Tiempo
325;8.899;Tiempo
326;12.644;Colision
327;25.719;Tiempo
328;7.79;Tiempo
329;7.711;Tiempo
330;13.294;Tiempo
331;12.862;Colision
332;19.731;Tiempo
333;21.863;Tiempo
334;19.951;Tiempo
335;5.679;Tiempo
336;13.904;Colision
337;3.716;Tiempo
338;8.943;Tiempo
339;6.518;Tiempo
340;15.51;Colision
341;0.875;Objetivo
342;20.047;Tiempo
343;7.066;Colision
344;3.347;Tiempo
345;7.755;Tiempo
346;13.872;Tiempo
347;7.706;Tiempo
348;9.318;Tiempo
349;7.976;Tiempo
350;13.171;Colision
351;10.485;Tiempo
352;11.931;Tiempo
353;20.353;Tiempo
354;17.859;Tiempo
355;18.496;Tiempo
356;8.776;Tiempo
357;10.548;Colision
358;19.504;Tiempo
359;13.322;Colision
360;12.176;Tiempo
361;15.589;Colision
362;2.585;Tiempo
363;8.158;Tiempo
364;0.864;Objetivo
365;6.184;Tiempo
366;14.846;Tiempo
367;5.48;Colision
368;9.363;Tiempo
369;14.801;Colision
370;0.821;Objetivo
371;5.789;Tiempo
372;11.764;Tiempo
373;7.423;Tiempo
374;8.931;Tiempo
375;7.161;Tiempo
376;14.961;Tiempo
377;12.435;Tiempo
378;5.113;Tiempo
379;7.01;Tiempo
380;9.798;Colision
381;23.788;Tiempo
382;5.338;Tiempo
383;7.594;Tiempo
384;7.814;Colision
385;14.223;Tiempo
386;17.012;Tiempo
387;7.289;Tiempo
388;0.75;Objetivo
389;6.675;Tiempo
390;5.106;Tiempo
391;8.661;Tiempo
392;2.638;Tiempo
393;16.044;Colision
394;18.833;Colision
395;19.656;Tiempo
396;8.323;Tiempo
397;17.2;Tiempo
398;14.065;Tiempo
399;17.147;Tiempo
400;23.099;Tiempo
401;12.502;Tiempo
402;9.016;Tiempo
403;14.307;Tiempo
404;2.595;Tiempo
405;16.908;Colision
406;16.265;Tiempo
407;0.999;Objetivo
408;8.088;Tiempo
409;9.52;Tiempo
410;20.725;Colision
411;10.176;Tiempo
412;16.673;Tiempo
413;7.487;Tiempo
414;7.444;Colision
415;6.362;Tiempo
416;5.134;Tiempo
417;8.285;Tiempo
418;10.729;Tiempo
419;16.663;Colision
420;21.227;Colision
421;14.138;Colision
422;0.967;Objetivo
423;23.363;Tiempo
424;2.361;Tiempo
425;8.102;Tiempo
426;5.711;Tiempo
427;3.963;Tiempo
428;16.079;Colision
429;7.68;Tiempo
430;6.561;Tiempo
431;13.845;Tiempo
432;8.165;Tiempo
433;17.118;Tiempo
434;16.696;Colision
435;19.185;Tiempo
436;16.268;Colision
437;10.274;Tiempo
438;0.971;Objetivo
439;2.233;Tiempo
440;16.137;Tiempo
441;1.962;Tiempo
442;8.921;Tiempo
443;21.218;Tiempo
444;4.61;Tiempo
445;8.116;Tiempo
446;14.607;Tiempo
447;12.07;Tiempo
448;15.456;Colision
449;10.62;Tiempo
450;7.273;Tiempo
451;5.668;Tiempo
452;9.156;Tiempo
453;18.033;Tiempo
454;14.127;Tiempo
455;8.695;Tiempo
456;11.349;Colision
457;8.743;Tiempo
458;13.883;Colision
459;14.753;Colision
460;4.036;Tiempo
461;6.286;Tiempo
462;27.109;Tiempo
463;13.948;Tiempo
464;21.019;Tiempo
465;16.534;Tiempo
466;8.639;Tiempo
467;16.146;Colision
468;20.399;Colision
469;10.889;Colision
470;2.476;Tiempo
471;9.245;Tiempo
472;6.72;Colision
473;9.453;Tiempo
474;6.601;Colision
475;4.502;Tiempo
476;25.218;Tiempo
477;13.517;Tiempo
478;3.357;Tiempo
479;12.133;Colision
