Episodio;Perdida
20;20916.183
40;16536.115
60;17111.35
80;14816.306
100;20994.329
120;14558.14
140;13023.344
160;16787.932
180;16029.674
200;14181.851
220;16596.394
240;15719.239
260;26734.378
280;13985.271
300;14347.287
320;16757.264
340;17473.696
360;17459.303
380;17957.634
400;17407.561
420;15473.972
440;15349.907
460;15085.878
480;16415.381
500;15666.343
520;13016.196
540;15895.796
560;16760.885
580;14721.929
600;14827.835
620;15021.612
640;15420.17
660;13179.88
680;27361.027
700;16010.409
720;13988.593
740;14461.537
760;15840.594
780;11564.656
800;12550.408
820;13107.137
840;14633.02
860;13203.995
880;13479.292
900;11743.288
920;12525.565
940;14936.258
960;17329.271
980;20043.992
1000;11769.543
