Episodio;Perdida
20;16100.706
40;17963.408
60;18156.336
80;7461.481
100;11272.928
120;9153.951
140;12221.231
160;20931.543
180;21628.727
200;24627.768
220;9854.75
240;11933.354
260;14327.021
280;12319.477
300;16553.074
320;10870.906
340;17593.434
360;20257.824
380;15171.318
400;12810.715
420;18050.74
440;21631.453
460;12794.721
480;13370.787
500;15031.576
520;7006.282
540;10448.807
560;12372.188
580;10281.566
600;12154.156
620;16601.947
640;18257.68
660;11419.296
680;11400.588
700;12533.007
720;14704.516
740;15319.898
760;13048.57
780;15411.516
800;9287.303
820;14046.89
840;13100.807
860;12537.746
880;7627.508
900;15583.262
920;11562.846
940;12146.029
960;14576.737
980;13444.768
1000;12880.841
