Episodio;Distancia;Tipo
1;7.797;Tiempo
2;10.669;Colision
3;8.342;Tiempo
4;13.916;Tiempo
5;5.985;Tiempo
6;23.464;Colision
7;21.612;Tiempo
8;9.878;Tiempo
9;4.449;Tiempo
10;4.878;Tiempo
11;2.558;Tiempo
12;20.04;Tiempo
13;6.626;Tiempo
14;4.458;Tiempo
15;6.067;Tiempo
16;4.907;Tiempo
17;6.692;Tiempo
18;1.635;Tiempo
19;10.46;Tiempo
20;14.868;Tiempo
21;8.409;Tiempo
22;3.359;Tiempo
23;8.83;Tiempo
24;15.497;Tiempo
25;23.015;Tiempo
26;4.414;Tiempo
27;2.576;Tiempo
28;2.891;Tiempo
29;7.919;Tiempo
30;14.066;Tiempo
31;5.049;Tiempo
32;18.012;Tiempo
33;13.443;Tiempo
34;7.846;Tiempo
35;12.228;Tiempo
36;16.292;Tiempo
37;24.767;Tiempo
38;16.631;Tiempo
39;13.16;Tiempo
40;21.949;Tiempo
41;6.18;Tiempo
42;10.088;Tiempo
43;2.544;Tiempo
44;10.065;Tiempo
45;19.536;Tiempo
46;16.473;Tiempo
47;11.634;Tiempo
48;10.215;Tiempo
49;3.122;Tiempo
50;11.061;Tiempo
51;17.113;Tiempo
52;5.995;Tiempo
53;2.621;Tiempo
54;9.392;Tiempo
55;8.031;Tiempo
56;10.341;Tiempo
57;14.132;Colision
58;20.203;Tiempo
59;11.636;Tiempo
60;13.041;Tiempo
61;8.265;Tiempo
62;18.351;Tiempo
63;20.808;Tiempo
64;5.432;Tiempo
65;2.657;Tiempo
66;17.405;Tiempo
67;5.128;Tiempo
68;8.905;Colision
69;10.948;Tiempo
70;16.373;Tiempo
71;5.673;Tiempo
72;10.559;Tiempo
73;5.414;Tiempo
74;12.767;Tiempo
75;12.766;Tiempo
76;16.164;Tiempo
77;3.992;Tiempo
78;10.229;Tiempo
79;6.495;Tiempo
80;11.499;Colision
81;11.407;Tiempo
82;6.564;Tiempo
83;5.56;Tiempo
84;10.258;Tiempo
85;4.542;Tiempo
86;8.445;Tiempo
87;16.511;Tiempo
88;3.283;Tiempo
89;6.128;Tiempo
90;18.1;Tiempo
91;14.22;Tiempo
92;6.361;Tiempo
93;19.191;Tiempo
94;7.044;Tiempo
95;17.764;Tiempo
96;9.888;Tiempo
97;2.97;Colision
98;12.178;Tiempo
99;11.026;Tiempo
100;6.476;Tiempo
101;24.045;Tiempo
102;7.012;Tiempo
103;4.971;Tiempo
104;7.205;Tiempo
105;27.576;Tiempo
106;26.085;Tiempo
107;12.218;Tiempo
108;4.279;Tiempo
109;5.637;Tiempo
110;4.654;Tiempo
111;16.998;Tiempo
112;23.662;Tiempo
113;16.664;Tiempo
114;23.592;Tiempo
115;15.839;Tiempo
116;20.272;Colision
117;19.756;Colision
118;24.469;Tiempo
119;6.562;Tiempo
120;18.264;Tiempo
121;16.095;Colision
122;3.196;Tiempo
123;19.355;Tiempo
124;13.268;Tiempo
125;6.97;Tiempo
126;25.044;Tiempo
127;19.91;Tiempo
128;12.414;Tiempo
129;25.047;Tiempo
130;11.318;Tiempo
131;13.75;Tiempo
132;23.14;Tiempo
133;7.366;Tiempo
134;16.745;Tiempo
135;21.802;Tiempo
136;29.3;Tiempo
137;11.804;Tiempo
138;12.006;Tiempo
139;28.034;Tiempo
140;7.333;Tiempo
141;18.758;Tiempo
142;12.122;Tiempo
143;12.566;Tiempo
144;18.348;Tiempo
145;5.4;Tiempo
146;18.257;Tiempo
147;2.971;Tiempo
148;8.719;Tiempo
149;9.499;Colision
150;18.69;Tiempo
151;5.957;Tiempo
152;12.481;Tiempo
153;15.791;Tiempo
154;15.571;Tiempo
155;17.303;Colision
156;14.534;Tiempo
157;13.411;Tiempo
158;15.111;Tiempo
159;3.947;Tiempo
160;12.697;Tiempo
161;9.746;Tiempo
162;15.938;Tiempo
163;11.661;Tiempo
164;6.759;Tiempo
165;15.859;Tiempo
166;27.926;Tiempo
167;15.899;Tiempo
168;10.122;Tiempo
169;5.906;Tiempo
170;14.153;Tiempo
171;2.442;Tiempo
172;25.797;Tiempo
173;12.846;Tiempo
174;15.04;Colision
175;18.751;Tiempo
176;6.183;Tiempo
177;12.454;Tiempo
178;11.0;Tiempo
179;10.128;Tiempo
180;28.695;Tiempo
181;5.14;Tiempo
182;15.163;Tiempo
183;20.502;Tiempo
184;7.215;Tiempo
185;23.546;Tiempo
186;13.76;Colision
187;27.217;Tiempo
188;8.674;Tiempo
189;10.906;Tiempo
190;18.23;Tiempo
191;13.252;Tiempo
192;8.532;Colision
193;6.451;Tiempo
194;17.921;Tiempo
195;6.562;Tiempo
196;8.734;Tiempo
197;19.629;Tiempo
198;14.679;Tiempo
199;21.265;Tiempo
200;15.991;Tiempo
201;4.152;Colision
202;9.185;Tiempo
203;8.611;Tiempo
204;29.22;Tiempo
205;19.882;Tiempo
206;20.504;Tiempo
207;16.367;Tiempo
208;17.574;Tiempo
209;9.621;Tiempo
210;19.518;Tiempo
211;23.407;Tiempo
212;17.339;Colision
213;12.353;Colision
214;13.192;Colision
215;20.065;Tiempo
216;16.597;Tiempo
217;14.409;Tiempo
218;26.565;Tiempo
219;8.755;Tiempo
220;18.598;Tiempo
221;10.009;Tiempo
222;2.745;Tiempo
223;13.59;Tiempo
224;26.477;Tiempo
225;28.394;Tiempo
226;21.157;Tiempo
227;18.771;Tiempo
228;18.12;Tiempo
229;11.42;Tiempo
230;13.169;Tiempo
231;11.93;Tiempo
232;15.075;Tiempo
233;23.698;Tiempo
234;17.609;Tiempo
235;16.122;Tiempo
236;20.177;Colision
237;12.447;Colision
238;26.293;Tiempo
239;14.687;Tiempo
240;12.177;Colision
241;4.055;Tiempo
242;17.055;Tiempo
243;6.683;Tiempo
244;13.218;Tiempo
245;13.804;Tiempo
246;24.107;Tiempo
247;16.508;Tiempo
248;21.4;Tiempo
249;10.945;Tiempo
250;9.941;Tiempo
251;5.774;Tiempo
252;19.973;Tiempo
253;25.103;Tiempo
254;27.74;Tiempo
255;25.125;Tiempo
256;12.262;Tiempo
257;12.747;Tiempo
258;19.347;Tiempo
259;24.767;Tiempo
260;19.472;Tiempo
261;11.983;Tiempo
262;24.543;Tiempo
263;11.67;Colision
264;8.794;Tiempo
265;10.299;Tiempo
266;9.609;Tiempo
267;12.435;Tiempo
268;12.556;Colision
269;4.399;Tiempo
270;10.392;Tiempo
271;25.007;Tiempo
272;27.775;Tiempo
273;17.25;Tiempo
274;9.14;Tiempo
275;12.161;Tiempo
276;10.134;Colision
277;11.26;Colision
278;11.737;Colision
279;29.137;Tiempo
280;18.444;Tiempo
281;8.961;Tiempo
282;17.196;Colision
283;14.684;Colision
284;5.739;Tiempo
285;28.281;Tiempo
286;20.375;Tiempo
287;14.91;Tiempo
288;18.369;Tiempo
289;20.694;Tiempo
290;14.508;Tiempo
291;21.298;Tiempo
292;28.548;Tiempo
293;19.987;Tiempo
294;14.459;Tiempo
295;14.396;Tiempo
296;12.614;Tiempo
297;8.705;Colision
298;28.709;Tiempo
299;28.979;Tiempo
300;8.698;Tiempo
301;6.753;Tiempo
302;28.322;Tiempo
303;21.828;Tiempo
304;12.845;Tiempo
305;24.077;Tiempo
306;24.557;Tiempo
307;6.685;Colision
308;21.973;Tiempo
309;12.347;Tiempo
310;20.217;Tiempo
311;22.715;Tiempo
312;20.784;Tiempo
313;9.55;Tiempo
314;22.069;Tiempo
315;25.506;Tiempo
316;16.409;Tiempo
317;23.071;Tiempo
318;11.875;Tiempo
319;25.23;Tiempo
320;16.306;Colision
321;24.805;Tiempo
322;23.707;Tiempo
323;13.784;Tiempo
324;10.206;Colision
325;16.199;Tiempo
326;17.011;Tiempo
327;22.263;Tiempo
328;21.261;Tiempo
329;24.638;Tiempo
330;16.808;Tiempo
331;14.511;Tiempo
332;10.461;Tiempo
333;11.511;Tiempo
334;14.486;Tiempo
335;15.113;Tiempo
336;17.204;Tiempo
337;27.997;Tiempo
338;9.33;Tiempo
339;8.728;Tiempo
340;20.606;Tiempo
341;9.834;Tiempo
342;18.837;Tiempo
343;17.178;Tiempo
344;13.312;Tiempo
345;10.996;Tiempo
346;25.88;Tiempo
347;17.446;Colision
348;19.146;Tiempo
349;27.1;Tiempo
350;17.122;Tiempo
351;25.472;Tiempo
352;25.523;Tiempo
353;27.558;Tiempo
354;11.276;Tiempo
355;25.481;Tiempo
356;11.028;Tiempo
357;21.49;Tiempo
358;18.984;Tiempo
359;10.396;Tiempo
360;18.857;Colision
361;6.21;Tiempo
362;24.592;Tiempo
363;18.829;Tiempo
364;20.196;Tiempo
365;13.413;Tiempo
366;15.212;Tiempo
367;14.003;Tiempo
368;21.607;Tiempo
369;12.084;Tiempo
370;26.58;Tiempo
371;20.58;Tiempo
372;22.55;Tiempo
373;20.571;Tiempo
374;10.975;Tiempo
375;17.399;Tiempo
376;14.723;Tiempo
377;19.675;Tiempo
378;27.761;Tiempo
379;11.425;Tiempo
380;25.382;Tiempo
381;28.792;Tiempo
382;26.191;Tiempo
383;10.997;Tiempo
384;2.194;Tiempo
385;21.552;Tiempo
386;25.182;Tiempo
387;12.718;Tiempo
388;17.168;Tiempo
389;12.317;Colision
390;24.756;Tiempo
391;14.063;Tiempo
392;28.309;Tiempo
393;24.698;Tiempo
394;27.726;Tiempo
395;26.796;Tiempo
396;29.887;Tiempo
397;29.756;Tiempo
398;21.295;Tiempo
399;28.311;Tiempo
400;16.671;Tiempo
401;29.083;Tiempo
402;5.888;Tiempo
403;22.628;Tiempo
404;25.467;Tiempo
405;12.929;Tiempo
406;25.566;Tiempo
407;14.093;Tiempo
408;15.281;Tiempo
409;21.593;Tiempo
410;14.382;Tiempo
411;14.866;Tiempo
412;24.757;Tiempo
413;16.833;Tiempo
414;22.049;Tiempo
415;17.936;Tiempo
416;23.231;Tiempo
417;13.173;Tiempo
418;8.065;Tiempo
419;17.012;Tiempo
420;25.301;Tiempo
421;26.942;Tiempo
422;14.549;Tiempo
423;26.977;Tiempo
424;24.204;Tiempo
425;25.555;Tiempo
426;18.489;Colision
427;20.58;Tiempo
428;28.409;Tiempo
429;20.714;Tiempo
430;19.138;Tiempo
431;25.288;Tiempo
432;24.253;Tiempo
433;19.403;Tiempo
434;26.823;Tiempo
435;26.293;Tiempo
436;12.291;Tiempo
437;15.011;Tiempo
438;21.978;Tiempo
439;24.077;Tiempo
440;18.087;Tiempo
441;23.515;Tiempo
442;17.891;Tiempo
443;17.171;Tiempo
444;20.155;Tiempo
445;19.983;Tiempo
446;26.822;Tiempo
447;28.272;Tiempo
448;19.158;Colision
449;16.658;Tiempo
450;26.827;Tiempo
451;28.423;Tiempo
452;18.971;Tiempo
453;27.013;Tiempo
454;19.579;Tiempo
455;26.447;Tiempo
456;24.239;Tiempo
457;10.381;Tiempo
458;3.529;Tiempo
459;18.077;Colision
460;20.528;Tiempo
461;12.868;Tiempo
462;20.288;Tiempo
463;15.421;Tiempo
464;20.936;Tiempo
465;9.116;Tiempo
466;28.049;Tiempo
467;28.849;Tiempo
468;26.759;Tiempo
469;28.826;Tiempo
470;22.483;Tiempo
471;24.862;Tiempo
472;18.588;Tiempo
473;25.238;Tiempo
474;16.631;Tiempo
475;14.097;Tiempo
476;14.982;Colision
477;22.444;Tiempo
478;27.553;Tiempo
479;26.149;Tiempo
480;19.503;Tiempo
481;27.819;Tiempo
482;28.888;Tiempo
483;17.659;Tiempo
484;13.976;Tiempo
485;16.6;Tiempo
486;6.683;Tiempo
487;22.527;Tiempo
488;18.36;Tiempo
489;28.257;Tiempo
490;2.72;Tiempo
491;25.069;Tiempo
492;16.583;Tiempo
493;26.833;Tiempo
494;19.698;Tiempo
495;26.78;Tiempo
496;30.183;Tiempo
497;27.563;Tiempo
498;28.247;Tiempo
499;6.716;Tiempo
500;20.955;Tiempo
501;19.765;Tiempo
502;15.592;Tiempo
503;18.854;Tiempo
504;11.13;Tiempo
505;29.107;Tiempo
506;17.661;Tiempo
507;26.041;Tiempo
508;16.514;Colision
509;23.911;Tiempo
510;28.343;Tiempo
511;19.825;Tiempo
512;24.415;Tiempo
513;16.654;Tiempo
514;28.87;Tiempo
515;23.425;Tiempo
516;21.586;Tiempo
517;17.011;Colision
518;16.158;Tiempo
519;20.201;Tiempo
520;7.837;Tiempo
521;14.104;Tiempo
522;19.573;Tiempo
523;10.976;Tiempo
524;24.294;Tiempo
525;25.435;Tiempo
526;23.674;Tiempo
527;27.414;Tiempo
528;14.434;Tiempo
529;22.449;Tiempo
530;27.118;Tiempo
531;19.479;Colision
532;27.804;Tiempo
533;19.482;Tiempo
534;22.017;Colision
535;20.318;Tiempo
536;24.138;Tiempo
537;27.449;Tiempo
538;23.531;Tiempo
539;27.878;Tiempo
540;19.864;Tiempo
541;15.617;Tiempo
542;19.157;Tiempo
543;26.548;Tiempo
544;26.51;Tiempo
545;23.211;Tiempo
546;16.491;Tiempo
547;22.103;Tiempo
548;19.159;Tiempo
549;16.142;Tiempo
550;12.862;Tiempo
551;29.46;Tiempo
552;29.631;Tiempo
553;17.586;Tiempo
554;26.395;Tiempo
555;19.049;Tiempo
556;27.759;Tiempo
557;22.782;Tiempo
558;23.241;Tiempo
559;29.091;Tiempo
560;26.19;Tiempo
561;28.157;Tiempo
562;18.527;Tiempo
563;25.635;Tiempo
564;20.847;Tiempo
565;28.525;Tiempo
566;19.578;Tiempo
567;12.66;Colision
568;28.694;Tiempo
569;28.923;Tiempo
570;11.038;Tiempo
571;19.901;Tiempo
572;18.551;Tiempo
573;10.63;Tiempo
574;27.169;Tiempo
575;25.809;Tiempo
576;12.185;Tiempo
577;20.623;Tiempo
578;21.762;Colision
579;28.638;Tiempo
580;16.859;Tiempo
581;18.898;Tiempo
582;25.034;Tiempo
583;22.868;Tiempo
584;20.934;Tiempo
585;24.17;Tiempo
586;20.106;Tiempo
587;18.297;Tiempo
588;22.289;Tiempo
589;16.349;Tiempo
590;26.791;Tiempo
591;30.139;Tiempo
592;29.877;Tiempo
593;24.112;Tiempo
594;28.884;Tiempo
595;25.836;Tiempo
596;23.192;Tiempo
597;14.377;Tiempo
598;27.134;Tiempo
599;28.847;Tiempo
600;11.447;Tiempo
601;18.396;Colision
602;10.28;Tiempo
603;23.196;Tiempo
604;10.113;Colision
605;28.546;Tiempo
606;27.773;Tiempo
607;12.879;Tiempo
608;27.879;Tiempo
609;21.695;Tiempo
610;29.318;Tiempo
611;22.086;Tiempo
612;26.149;Tiempo
613;24.098;Tiempo
614;24.939;Tiempo
615;25.574;Tiempo
616;13.75;Tiempo
617;19.656;Tiempo
618;21.183;Tiempo
619;24.759;Tiempo
620;28.468;Tiempo
621;26.73;Tiempo
622;28.183;Tiempo
623;24.577;Tiempo
624;24.28;Tiempo
625;28.852;Tiempo
626;26.278;Tiempo
627;24.952;Tiempo
628;24.615;Tiempo
629;20.331;Tiempo
630;28.282;Tiempo
631;19.888;Tiempo
632;26.797;Tiempo
633;20.483;Tiempo
634;25.263;Tiempo
635;8.284;Tiempo
636;22.342;Tiempo
637;18.97;Tiempo
638;23.449;Tiempo
639;29.662;Tiempo
640;20.217;Tiempo
641;21.12;Tiempo
642;20.443;Tiempo
643;28.301;Tiempo
644;27.408;Tiempo
645;24.597;Tiempo
646;28.254;Tiempo
647;9.631;Tiempo
648;28.596;Tiempo
649;21.804;Tiempo
650;18.191;Tiempo
651;24.614;Tiempo
652;20.086;Tiempo
653;17.752;Tiempo
654;23.906;Tiempo
655;10.174;Tiempo
656;23.007;Tiempo
657;23.065;Tiempo
658;24.53;Tiempo
659;23.392;Tiempo
660;28.817;Tiempo
661;12.539;Tiempo
662;26.068;Tiempo
663;19.598;Tiempo
664;25.819;Tiempo
665;21.101;Tiempo
666;20.078;Tiempo
667;26.902;Tiempo
668;29.96;Tiempo
669;13.849;Tiempo
670;25.412;Tiempo
671;19.434;Colision
672;26.087;Tiempo
673;29.389;Tiempo
674;30.322;Tiempo
675;29.626;Tiempo
676;28.015;Tiempo
677;27.546;Tiempo
678;29.096;Tiempo
679;29.563;Tiempo
680;16.739;Tiempo
681;28.499;Tiempo
682;24.354;Tiempo
683;16.063;Tiempo
684;24.091;Tiempo
685;13.823;Colision
686;14.185;Tiempo
687;25.279;Tiempo
688;28.599;Tiempo
689;29.464;Tiempo
690;29.613;Tiempo
691;23.107;Tiempo
692;22.324;Tiempo
693;28.625;Tiempo
694;28.18;Tiempo
