Episodio;Perdida
20;18184.613
40;15483.633
60;19855.877
80;16314.08
100;15931.262
120;14029.533
140;11926.162
160;13343.399
180;14487.227
200;14327.928
220;12259.436
240;17721.41
260;13444.103
280;17537.672
300;13488.994
320;13652.764
340;10806.653
360;11625.812
380;18384.539
400;13495.34
420;18379.816
440;14041.193
460;15610.522
480;13719.016
500;18483.354
520;18627.828
540;15927.804
560;12592.051
580;13233.078
600;11722.177
620;13298.938
640;14184.092
660;16122.125
680;16902.717
700;12757.592
720;15564.822
740;15394.791
760;11615.744
780;13176.46
800;16388.758
820;11449.378
840;12594.616
860;12698.478
880;15618.395
900;13804.558
920;15631.946
940;14456.904
960;12354.021
980;15164.621
1000;11374.58
