Episodio;Perdida
20;20991.332
40;13336.628
60;15362.466
80;11532.414
100;13688.872
120;13199.712
140;11968.578
160;13320.677
180;18953.023
200;13728.263
220;18571.571
240;12033.984
260;20338.521
280;16673.863
300;16784.204
320;15069.34
340;18783.317
360;21321.789
380;12504.132
400;15692.475
420;15618.674
440;16003.903
460;12199.107
480;10661.224
500;11525.39
520;16910.674
540;15376.492
560;14856.623
580;14516.651
600;11930.657
620;15286.203
640;12338.376
660;15831.096
680;11706.017
700;13673.775
720;17562.397
740;15016.557
760;16682.293
780;14018.8
800;16370.224
820;17852.922
840;14030.974
860;12769.974
880;16205.828
900;13360.869
920;12199.082
940;15626.686
960;15556.939
980;15577.896
1000;14973.584
